Store code	Business name	Address line 1	Address line 2	Address line 3	Address line 4	Address line 5	Sub-locality	Locality	Administrative area	Country / Region	Postal code	Latitude	Longitude	Primary phone	Additional phones	Website	Primary category	Additional categories	Sunday hours	Monday hours	Tuesday hours	Wednesday hours	Thursday hours	Friday hours	Saturday hours	Special hours	From the business	Opening date	Logo photo	Cover photo	Other photos	Labels	AdWords location extensions phone
nero-001	Nero Charge	Kleine Markt 1					Antwerpen	Antwerpen	Belgium	2000	51.2204	4.3997	+32468060276		https://www.nerocharge.be	Equipment rental agency		Closed	09:00-02:00	09:00-02:00	09:00-02:00	09:00-02:00	09:00-03:00	09:00-03:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank antwerpen
nero-002	Nero Charge	Scheldestraat 36					Antwerpen	Antwerpen	Belgium	2000	51.2116	4.3952	+32468060276		https://www.nerocharge.be	Equipment rental agency		Closed	09:00-02:00	09:00-02:00	09:00-02:00	09:00-02:00	09:00-03:00	09:00-03:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank antwerpen
nero-003	Nero Charge	Scheldestraat 77					Antwerpen	Antwerpen	Belgium	2000	51.2109	4.3952	+32468060276		https://www.nerocharge.be	Equipment rental agency		Closed	09:00-02:00	09:00-02:00	09:00-02:00	09:00-02:00	09:00-03:00	09:00-03:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank antwerpen
nero-004	Nero Charge	Sint-Jorispoort 1					Antwerpen	Antwerpen	Belgium	2000	51.2185	4.4062	+32468060276		https://www.nerocharge.be	Equipment rental agency		Closed	09:00-02:00	09:00-02:00	09:00-02:00	09:00-02:00	09:00-03:00	09:00-03:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank antwerpen
nero-005	Nero Charge	Hendrik Conscienceplein 5					Antwerpen	Antwerpen	Belgium	2000	51.2215	4.4010	+32468060276		https://www.nerocharge.be	Equipment rental agency		Closed	09:00-02:00	09:00-02:00	09:00-02:00	09:00-02:00	09:00-03:00	09:00-03:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank antwerpen
nero-006	Nero Charge	Zeedijk-Duinbergen 387					Knokke-Heist	West-Vlaanderen	Belgium	8301	51.3447	3.2593	+32468060276		https://www.nerocharge.be	Equipment rental agency		10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-23:00	10:00-23:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank knokke-heist
nero-007	Nero Charge	Zeedijk-Het Zoute 648					Knokke-Heist	West-Vlaanderen	Belgium	8300	51.3535	3.2898	+32468060276		https://www.nerocharge.be	Equipment rental agency		10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-23:00	10:00-23:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank knokke-heist
nero-008	Nero Charge	Zeedijk-Het Zoute 664					Knokke-Heist	West-Vlaanderen	Belgium	8300	51.3539	3.2918	+32468060276		https://www.nerocharge.be	Equipment rental agency		10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-23:00	10:00-23:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank knokke-heist
nero-009	Nero Charge	Zeedijk-Het Zoute 680					Knokke-Heist	West-Vlaanderen	Belgium	8300	51.3542	3.2938	+32468060276		https://www.nerocharge.be	Equipment rental agency		10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-23:00	10:00-23:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank knokke-heist
nero-010	Nero Charge	Zeedijk-Albertstrand 542					Knokke-Heist	West-Vlaanderen	Belgium	8300	51.3501	3.2822	+32468060276		https://www.nerocharge.be	Equipment rental agency		10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-22:00	10:00-23:00	10:00-23:00		Powerbank verhuur. Contactloos betalen. Geen app nodig.				powerbank knokke-heist
